Genus	Species	Samplinglocation	Country	Year	Date	Sample number (on tube or bag)	Individual number	Extraction y/n?	Extraction date	Sex	Status	Sampled by	Sample type	Place of capture	Reproductive status	Weight	Length	Tail length	Latitude	Longitude	Remarks	Latitude (swiss)	Longitude (swiss)	Microsat	Cytochrom b	Control region	avpr1a	Specimen-20	"GewebeRack Number in Fridge oder -20C oder -80C, Gut samples"	DNADNA_.Number.in..20	RNARNA_.Number.in..80	Lung.Tissue	Screened? (TULV)	Positive? (TULV)	S-Segment	M-Segment	L-Segment	Genome	Swab 2 Tubes per Sample	Published	Add								
Microtus	arvalis	"WarnowtalbeiLangenBrütz,12kmnordwestlichvonSchwerin,Germany"	Germany	2004	2003/2004	MarDWa04	MarDWa04					Robert Sommer (Uni Rostock)	tail						54.05	11.7									Rack07	DNA_151_40_DNA174_52										Wang et al. 2023									
Microtus	arvalis	"WarnowtalbeiLangenBrütz,12kmnordwestlichvonSchwerin,Germany"	Germany	2004	2003/2004	MarDWa05	MarDWa05					Robert Sommer (Uni Rostock)	tail						54.05	11.7									Rack07																				
Microtus	arvalis	"WarnowtalbeiLangenBrütz,12kmnordwestlichvonSchwerin,Germany"	Germany	2004	2003/2004	MarDWa06	MarDWa06					Robert Sommer (Uni Rostock)	tail						54.05	11.7									Rack07																				
Microtus	arvalis	"Marling,Südtirol,Italy"	Italy	2004	25/10/2004	06'04	MarIMa01	y			ad	Eva Ladurner	ear	280 m. ü. M															Rack04	DNA_15																			
Microtus	arvalis	"Marling,Südtirol,Italy"	Italy	2004	25/10/2004	07'04	MarIMa02	y			ad	Eva Ladurner		280 m. ü. M															Rack04	DNA_15																			
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	04/08/2004	6	MarPKl02	y		f	j	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			10													Rack01	DNA_17																			
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	04/08/2004	7	MarPKl03	y		?	j	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			6													Rack01	DNA_17																			
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	30/09/2004	4	MarPKl01	y		m	j	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			14													Rack01	DNA_17																			
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	30/09/2004	8	MarPKl04	y		?	j	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			11													Rack01	DNA_17																			
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	30/09/2004	9	MarPKl05			m	a	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			26													Rack01																				
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	30/09/2004	10	MarPKl06			?	a	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			29													Rack01																				
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	30/09/2004	11	MarPKl07			?	?	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			16													Rack01																				
Microtus	arvalis	"Kleszczele,drymeadows"	Poland	2004	30/09/2004	12	MarPKl08			?	j	"Karol Zub, Mammal Research Insitiute PAS, Bialowieza, Poland"	tissue in EtOH			10													Rack01																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK207	MarPKu01	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK208	MarPKu02	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK210	MarPKu03	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK211	MarPKu04	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK212	MarPKu05	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK213	MarPKu06	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK214	MarPKu07	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK215	MarPKu08	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK216	MarPKu09	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK217	MarPKu10	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK218	MarPKu11	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK219	MarPKu12	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK220	MarPKu13	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK221	MarPKu14	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK222	MarPKu15	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK223	MarPKu16	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK224	MarPKu17	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK225	MarPKu18	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK226	MarPKu19	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK227	MarPKu20	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK228	MarPKu21	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK229	MarPKu22	n		?		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK230	MarPKu23	n		?		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK285	MarPKu24	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK286	MarPKu25	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK287	MarPKu26	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK288	MarPKu27	n		F		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK290	MarPKu28	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK291	MarPKu29	n		?		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	Kudrycze	Poland	2004	05. 2004	MaK2	MarPKu31	n		M		Miroslaw Ratkiewicz (Mirek)	toes	near the city of Mirek (Bialystok)					53.13333333	23.15	PL1								Rack19																				
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	507	MarSloMe01	y		m		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	512	MarSloMe02	y		m		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	513	MarSloMe03	y		f		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	514	MarSloMe04	y		m		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	523	MarSloMe05	y		f		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	527	MarSloMe06	y		f		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	529	MarSloMe07	y		f		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Travnik,Medvedjak,Gotenikagorakljun&tud"	Slovenia	2004	22/09/2004	531	MarSloMe08	y		f		Ivan Kos							45.7	13.81666667									Rack04	DNA_13																			
Microtus	arvalis	"Muttlenboden,NäheRiggisberg"	Switzerland	2004	04/01/2004	MarMb10	MarMb10			f		Birgit Thorenz	specimen			22	10				lw32									DNA_01	big red RNA_ 9																		
Microtus	arvalis	"Muttlenboden,NäheRiggisberg"	Switzerland	2004	13/04/2004	MarMb06	MarMb06	y		f		Birgit Thorenz	specimen			16	8.5				Sn									DNA_01	big red RNA_ 9																		
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	14/04/2004	MarPaB31	MarPaB31	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		28			47.127192	6.940624	Trap 50								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	16/04/2004	1938	MarPaB32	Yes tell	5.2008	M/Wtell		MS	Ear 	Pré-aux-boeufs		30			47.127192	6.940624	Trap55								Box230 /-20°C	DNA_60																			
Microtus	avalis	Pré-aux-boeufs	Switzerland	2004	17/04/2004	MarPaB33	MarPaB33	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		21			47.127192	6.940624	Trap 25								Box230 /-20°C	DNA_60																			
Microus	arvalis	Pré-aux-boeufs	Switzerland	2004	17/04/2004	MarPaB34	MarPaB34	Yes tell	5.2008	M/Wtell		MS	Spec.	Pré-aux-boeufs		18			47.127192	6.940624	Trap26								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	17/04/2004	1909	MarPaB35	Yes tell	5.2008	MMtell		MS	Ear 	Pré-aux-boeufs		28			47.127192	6.940624	Trap50								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	18/04/2004	MarPaB36	MarPaB36	Yes tell	5.2008	M/Wtell		MS	Spec.	Pré-aux-boeufs		19			47.127192	6.940624	Trap38								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	18/04/2004	1907	MarPaB37	Yes tell	5.2008	M/Wtell		MS	Ear 	Pré-aux-boeufs		27			47.127192	6.940624	Trap60								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	1913	MarPaB38	Yes tell	5.2008	M/Mtell		MS	Ear 	Pré-aux-boeufs		27			47.127192	6.940624	Trap11	wohl Wiederfang mit verlorener Ohrmarke							Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	MarPaB39	MarPaB39	Yes tell	5.2008	M/?tell		MS	Spec.	Pré-aux-boeufs		24			47.127192	6.940624	Trap47								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	MarPaB40	MarPaB40	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs		23			47.127192	6.940624	Trap11								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	MarPaB41	MarPaB41	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		29			47.127192	6.940624	Trap26								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	1946	MarPaB42	Yes tell	5.2008	M/Mtell		MS abends	Ear 	Pré-aux-boeufs		29			47.127192	6.940624									Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	1904	MarPaB43	Yes tell	5.2008	M/Mtell		MS abends	Ear 	Pré-aux-boeufs		24			47.127192	6.940624	Trap21								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	19/04/2004	1914	MarPaB44	Yes tell	5.2008	W/Wtell		MS abends	Ear 	Pré-aux-boeufs		22			47.127192	6.940624	Trap58								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	22/04/2004	MarPaB45	MarPaB45	Yes tell	5.2008	W		MS	Spec.	Pré-aux-boeufs		21			47.127192	6.940624									Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	23/04/2004	MarPaB46	MarPaB46	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		31			47.127192	6.940624	Trap57								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	23/04/2004	MarPaB47	MarPaB47	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs					47.127192	6.940624	"Trap57, zerfetzt"								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	24/04/2004	1982	MarPaB48	Yes tell	5.2008	M/Wtell		MS	Ear 	Pré-aux-boeufs		21			47.127192	6.940624	Trap21								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	25/04/2004	1975	MarPaB49	Yes tell	5.2008	M/Mtell		MS	Ear 	Pré-aux-boeufs		24			47.127192	6.940624	Trap22								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	26/04/2004	MarPaB50=48	MarPaB50=48	Yes tell	5.2008	M		MS	Spec.	Pré-aux-boeufs		21			47.127192	6.940624	Trap22	Widerfang mit verlorener Ohrmarke							Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	27/04/2004	1973	MarPaB51	Yes tell	5.2008	M/?tell		MS	Ear 	Pré-aux-boeufs		22			47.127192	6.940624	Trap57	Widerfang mit verlorener Ohrmarke							Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	27/04/2004	MarPaB52	MarPaB52	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		5			47.127192	6.940624	"Trap22, together with 53,54"								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	27/04/2004	MarPaB53	MarPaB53	Yes tell	5.2008	M/Wtell		MS	Spec.	Pré-aux-boeufs		4			47.127192	6.940624	"Trap22, together with 52, 54"								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	27/04/2004	MarPaB54	MarPaB54	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs		4			47.127192	6.940624	"Trap22. together with 52,53"								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	30/04/2004	MarPaB55	MarPaB55	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs		6			47.127192	6.940624	Trap27								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	01/05/2004	1935	MarPaB56	Yes tell	5.2008	MMtell		MS	Ear 	Pré-aux-boeufs		10			47.127192	6.940624	Trap13								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	01/05/2004	1944	MarPaB57	Yes tell	5.2008	M/Mtell		MS	Ear 	Pré-aux-boeufs		20			47.127192	6.940624	Trap21								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	01/05/2004	MarPaB58	MarPaB58	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs		18			47.127192	6.940624	Trap30								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	01/05/2004	1928	MarPaB59	Yes tell	5.2008	M/Mtell		MS	Ear 	Pré-aux-boeufs		63			47.127192	6.940624	Trap1 arvicola?								Box230 /-20°C	DNA_60																			
Microtus	arvalis	"Muttlenboden,NäheRiggisberg"	Switzerland	2004	04/05/2004	MarMb09	MarMb09	y		f		Birgit Thorenz	specimen			28	10				Sn									DNA_01	big red RNA_ 9																		
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	04/05/2004	MarPaB60	MarPaB60	Yes tell	5.2008	M/Wtell		MS	Spec.	Pré-aux-boeufs		11			47.127192	6.940624	Trap24								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	04/05/2004	MarPaB61	MarPaB61	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs		18			47.127192	6.940624	Trap19. WF mit verlorener Marke?								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	05/05/2004	MarPaB62	MarPaB62	Yes tell	5.2008	W/Wtell		MS	Spec.	Pré-aux-boeufs		9			47.127192	6.940624	Trap24								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	05/05/2004	MarPaB63	MarPaB63	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		18			47.127192	6.940624	Trap58								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	06/05/2004	MarPaB64	MarPaB64	Yes tell	5.2008	W?tell		MS	Spec.	Pré-aux-boeufs		23			47.127192	6.940624	Trap11								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	07/05/2004	MarPaB65	MarPaB65	Yes tell	5.2008	M/Mtell		MS	Spec.	Pré-aux-boeufs		10			47.127192	6.940624	Trap24								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	07/05/2004	1825	MarPaB66	Yes tell	5.2008	W/?		MS	Ear 	Pré-aux-boeufs		24			47.127192	6.940624	Trap41								Box230 /-20°C	DNA_60																			
Microtus	arvalis	Pré-aux-boeufs	Switzerland	2004	08/05/2004	MarPaB67	MarPaB67	Yes tell	5.2008	W/Mtell		MS	Spec.	Pré-aux-boeufs		24			47.127192	6.940624	Trap21								Box230 /-20°C	DNA_60																			
Microtus	arvalis	"Muttlenboden,NäheRiggisberg"	Switzerland	2004	13/05/2004	MarMb07	MarMb07	y		f		Birgit Thorenz	specimen			18	8.5				Sn									DNA_01	big red RNA_ 9																		
Microtus	arvalis	"Muttlenboden,NäheRiggisberg"	Switzerland	2004	13/05/2004	MarMb08	MarMb08	y		f		Birgit Thorenz	specimen			30	10				Sn									DNA_01	big red RNA_ 9																		
Microtus	arvalis	Mühledorf	Switzerland	2004	10/07/2004	MarMd10	MarMd10	+		f		Birgit Thorenz	tail	Mühledorf		20	9.5				lw33									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Mühledorf	Switzerland	2004	10/07/2004	MarMd11	MarMd11	+		f		Birgit Thorenz	tail	Mühledorf		25	9.5				lw36									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Mühledorf	Switzerland	2004	10/07/2004	MarMd12	MarMd12	+		?		Birgit Thorenz	specimen	Mühledorf		?	?				lw37									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Mühledorf	Switzerland	2004	10/07/2004	MarMd13	MarMd13	+		?		Birgit Thorenz	tail	Mühledorf		30	11				lw38									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa01	MarTa01	y		f		Birgit Thorenz	specimen			18	7.5				sherman10																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa02	MarTa02	y		m		Birgit Thorenz	tail			30	10.5				lw9																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa03	MarTa03	y		m		Birgit Thorenz	tail			37	12.5				lw18																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa04	MarTa04	y		?		Birgit Thorenz	tail			28	10.5				lw20																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa05	MarTa05	y		f		Birgit Thorenz	tail			28	10				lw23																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa06	MarTa06	y		juv		Birgit Thorenz	tail			14	7				lw49																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa07	MarTa07	y		juv		Birgit Thorenz	tail			10	6				lw47																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa08	MarTa08	y		juv		Birgit Thorenz	tail			9.5	5				lw47																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa09	MarTa09	y		f		Birgit Thorenz	tail			21	10				lw50																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa10	MarTa10	y		m		Birgit Thorenz	tail			31	11				lw51																												
Microtus	arvalis	Thierachern	Switzerland	2004	10/07/2004	MarTa11	MarTa11	y		juv		Birgit Thorenz	tail			9	6				lw61																												
Microtus	arvalis	Mühledorf	Switzerland	2004	11/07/2004	MarMd14	MarMd14	+		m		Birgit Thorenz	tail	Mühledorf		31	9				lw33									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Mühledorf	Switzerland	2004	11/07/2004	MarMd15	MarMd15	+		f		Birgit Thorenz	tail	Mühledorf		31	8.5				lw50									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Mühledorf	Switzerland	2004	11/07/2004	MarMd16	MarMd16	+		m		Birgit Thorenz	tail	Mühledorf		35	9.5				lw53									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa12	MarTa12	y		juv		Birgit Thorenz	tail			12	9				lw58																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa13	MarTa13	y		juv		Birgit Thorenz	tail			12	9				lw1																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa14	MarTa14	y		f		Birgit Thorenz	tail			26	10.5				lw7																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa15	MarTa15	y		m		Birgit Thorenz	tail			20	9.5				lw12																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa16	MarTa16	y		m		Birgit Thorenz	tail			20	8.5				lw11																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa17	MarTa17	y		juv		Birgit Thorenz	tail			10	7.5				lw16																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa18	MarTa18	y		m		Birgit Thorenz	tail			18	8				lw18																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa19	MarTa19	y		f		Birgit Thorenz	tail			14	7.5				lw20																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa20	MarTa20	y		juv		Birgit Thorenz	tail			10	7				lw18																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa21	MarTa21	y		m		Birgit Thorenz	tail			28	9				lw26																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa22	MarTa22	y		juv		Birgit Thorenz	tail			12	7.5				lw36																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa23	MarTa23	y		juv		Birgit Thorenz	tail			12	7.5				lw32																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa24	MarTa24	y		?		Birgit Thorenz	tail			12	6.5				lw48																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa25	MarTa25	y		juv		Birgit Thorenz	tail			7	10				lw59																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa26	MarTa26	y		m		Birgit Thorenz	tail			26	9.5				lw54																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa27	MarTa27	y		juv		Birgit Thorenz	tail			10	6				lw54																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa28	MarTa28	y		f		Birgit Thorenz	tail			22	7.5				lw46																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa29	MarTa29	y		f		Birgit Thorenz	specimen			22	8				lw23																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa30	MarTa30	y		f		Birgit Thorenz	tail			26	11				lw27																												
Microtus	arvalis	Thierachern	Switzerland	2004	11/07/2004	MarTa31	MarTa31	y		f		Birgit Thorenz	tail			20	10				lw61																												
Microtus	arvalis	Mühledorf	Switzerland	2004	12/07/2004	MarMd17	MarMd17	+		f		Birgit Thorenz	tail	Mühledorf		20	8				lw43									DNA_01	big red RNA_ 8																		
Microtus	arvalis	Mühledorf	Switzerland	2004	12/07/2004	MarMd18	MarMd18	+		f		Birgit Thorenz	tail	Mühledorf		31	10.5				lw63									DNA_01	big red RNA_ 8																		
